
data/sprites/items/

bag01.png  bleutailfly; OGA BY 3.0; Stendhal (unused)
cheesesausage.*          thekingphoenix, Jordan Irwin (AntumDeluge); CC0; Stendhal, https://opengameart.org/node/77345
cherry.png               Vesa Vanhatupa (Master484); CC0; https://opengameart.org/node/20467
cherrypie.png            omero; CC BY-SA 3.0; Stendhal
chicken.png              Michael Williams (BizmasterStudios); CC BY 4.0; https://opengameart.org/node/78777
chinese-cabbage.png      Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
chocolatebar.png         tigertoes; CC BY-SA 3.0; Stendhal
chocolateshake.png       tigertoes; CC BY-SA 3.0; Stendhal
clown-fish.png           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
coconut.png              Petey21, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://commons.wikimedia.org/wiki/File:Coconut_face.jpg
cod.png                  Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
cod_smoked.png           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
collard.png              Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
corn.*                   ScratchIO, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/99282
courgette.png            Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
crab_meat.*              Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/20711
crepesuzette.png         omero; CC BY-SA 3.0; Stendhal
easter_egg.png           dStulle; CC0; https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg
egg.png                  dStulle; CC0; https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg
fairy_cake.png           Katie Russell (kymara); GPL 2.0+; Stendhal
fishpie.png              kymara?; ???; ???
garlic.png               Kimmo Rundelin (kiheru), Storyteller; CC BY-SA 3.0; Stendhal
grapes.png               RedQueen; OGA BY 3.0; Stendhal
grilled_steak.png        Henrique Lazarini (7Soul1); CC0; https://opengameart.org/node/39455
ham.png                  David E. Gervais; CC BY 3.0; https://opengameart.org/node/6622, http://pousse.rapiere.free.fr/tome/
ham_smoked.png           David E. Gervais; CC BY 3.0; https://opengameart.org/node/6622, http://pousse.rapiere.free.fr/tome/
hamsausage.png           thekingphoenix, Jordan Irwin (AntumDeluge); CC0; Stendhal, https://opengameart.org/node/77345
honey.png                bleutailfly; OGA BY 3.0; Stendhal
icecream.png             thekingphoenix; CC0; https://opengameart.org/node/77345
leek.png                 Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
licorice.png             tigertoes; CC BY-SA 3.0; Stendhal; Based on rope by Xenodora from OGA, Modded and Committed by tigertoes
mackerel.png             Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
meat.png                 Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
meat_smoked.png          Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
olive.png                tigertoes; CC BY-SA 3.0; Stendhal
onion.png                Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
pear.png                 RedQueen; OGA BY 3.0; Stendhal
perch.png                Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
piesmall.png             Katie Russell (kymara); GPL 2.0; Stendhal
pineapple.png            nicubunu; CC0; https://openclipart.org/detail/12995
pizza.png                Alex Jackson (PancInteractive); CC BY 3.0; https://opengameart.org/node/22243
pomegranate.png          Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://commons.wikimedia.org/wiki/File:Afghan_pomegranate_Kandahar.jpg
porcini.png              Daniel Herding (mort); GPL 2.0; Stendhal; Needs verified
red-lionfish.png         Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
roach.png                Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
salad.png                Nadine Schlonies (dine); GPL 2.0; Stendhal; Needs verified
sandwich.png             Katie Russell (kymara); GPL 2.0; Stendhal
sausage.png              thekingphoenix, Jordan Irwin (AntumDeluge); CC0; Stendhal, https://opengameart.org/node/77345
sausage_on_bun.png       thekingphoenix; CC0; https://opengameart.org/node/77345
small_easter_egg.png     dStulle; CC0; https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg
spinach.png              Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
spotted_egg.png          dStulle, Jordan Irwin (AntumDeluge); CC0; Stendhal, https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg
sugar.png                ScratchIO; CC0; https://opengameart.org/node/99798
surgeonfish.png          Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
toadstool.png            Daniel Herding (mort); GPL 2.0; Stendhal
tomato.png               David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/, https://opengameart.org/node/6622
trout.png                Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
trout_smoked.png         Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
tuna_sandwich.png        Katie Russell (kymara); GPL 2.0; Stendhal
unknown_fish.png         Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
vanillashake.png         tigertoes; CC BY-SA 3.0; Stendhal
watermelon.png           RedQueen; OGA BY 3.0; Stendhal

data/sprites/items/food/apple_special/

apple_*  tigertoes; CC BY-SA 3.0; Stendhal, https://opengameart.org/node/99798

data/sprites/items/grower/

arandula_grower.png         Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/50251, https://freesvg.org/nature-in-spring
artichoke_grower.png        omero; CC BY-SA 3.0; Stendhal
broccoli_grower.png         Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
button_mushroom_grower.png  Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
