This file should be synced with: https://stendhalgame.org/wiki/Stendhal:Audio_copyright/SFX

data/sounds/

alligator-1.ogg            U.S. Fish and Wildlife Service; public domain; http://www.fws.gov/video/sound.htm
mouse-2.ogg                Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16331
mouse-2.wav.xz             Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16331
mutant-frog-1.ogg          Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81249
mutant-frog-2.ogg          Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81249
mutant-frog-2.wav.xz       Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81249
panda-1.ogg                free sound pack
panda-1.wav.xz             free sound pack
panda-2.ogg                free sound pack
penguin-1.ogg              Bidone; CC0; http://www.freesound.org/people/Bidone/sounds/66150/
penguin-1.wav.xz           Bidone; CC0; http://www.freesound.org/people/Bidone/sounds/66150/
penguin-2.ogg              Bidone; CC0; http://www.freesound.org/people/Bidone/sounds/66150/
penguin-2.wav.xz           Bidone; CC0; http://www.freesound.org/people/Bidone/sounds/66150/
piano-1.ogg                public domain
piano-1.wav.xz             public domain
pick-metallic-1.ogg        qubodup; CC0; http://freesound.org/people/qubodup/sounds/182821/
pick-metallic-1.wav.xz     qubodup; CC0; http://freesound.org/people/qubodup/sounds/182821/
pig-1.ogg                  free sound pack
pig-2.ogg                  free sound pack
pig-3.ogg                  unknown; public domain; http://www.mediacollege.com/downloads/sound-effects/animals/pig/
pop-2.ogg                  free sound pack
punch-1.ogg                free sound pack
punch-2.ogg                free sound pack
punch-3.ogg                free sound pack
punch-4.ogg                free sound pack
punch-5.ogg                free sound pack
punch-6.ogg                free sound pack
puppy-bark-1.ogg           moffet; CC0; http://www.freesound.org/people/moffet/sounds/72579/
puppy-bark-1.wav.xz        moffet; CC0; http://www.freesound.org/people/moffet/sounds/72579/
raccoon-1.ogg              free sound pack
raccoon-1.wav.xz           free sound pack
rats-1.ogg                 free sound pack
rats-2.ogg                 free sound pack
rats-3.ogg                 free sound pack
rats-41.ogg                free sound pack
rattlesnake-1.ogg          fws.gov; public domain; http://soundbible.com/237-Rattlesnake-Rattle.html
rattlesnake-1.wav.xz       fws.gov; public domain; http://soundbible.com/237-Rattlesnake-Rattle.html
roar-dragon-1.ogg          JoelAudio; CC0; http://freesound.org/people/JoelAudio/sounds/85568/
roar-dragon-1.wav.xz       JoelAudio; CC0; http://freesound.org/people/JoelAudio/sounds/85568/
roar-dragon-2.ogg          frasbr; CC0; http://freesound.org/people/frasbr/sounds/145729/
roar-dragon-2.wav.xz       frasbr; CC0; http://freesound.org/people/frasbr/sounds/145729/
roar-large-1.ogg           ibm5155; CC0; http://freesound.org/people/ibm5155/sounds/174913/
roar-large-1.wav.xz        ibm5155; CC0; http://freesound.org/people/ibm5155/sounds/174913/
rocks-1.ogg                ALLANZ10D; CC0; http://freesound.org/people/ALLANZ10D/sounds/155934/
rocks-1.wav.xz             ALLANZ10D; CC0; http://freesound.org/people/ALLANZ10D/sounds/155934/
saur-3.ogg                 free sound pack
saur-4.ogg                 free sound pack
scrape-1.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81247
scrape-1.wav.xz            Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81247
scrape-2.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81247
scrape-2.wav.xz            Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81247
scream-fem-2.ogg           NeoPhyTe; public domain: http://soundbible.com/1627-Female-Scream-Horror.html
shake-leaves-1.ogg         vibe_crc; CC0; http://www.freesound.org/people/vibe_crc/sounds/59315/
shake-leaves-1.wav.xz      vibe_crc; CC0; http://www.freesound.org/people/vibe_crc/sounds/59315/
sheep-1.ogg                free sound pack
sheep-2.ogg                free sound pack
sheep-3.ogg                free sound pack
sheep-4.ogg                free sound pack
sheep-5.ogg                cognito perceptu; CC0; http://www.freesound.org/people/cognito%20perceptu/sounds/88423/
sheep-5.wav.xz             cognito perceptu; CC0; http://www.freesound.org/people/cognito%20perceptu/sounds/88423/
slap-1.ogg                 free sound pack
sleep-1.ogg                Storyteller; GPL
smith-1.ogg                free sound pack
snake-1.ogg                free sound pack
snake-cobra-1.ogg          unknown; public domain; https://archive.org/details/unknowncobracobrabitewmv
snake-cobra-2.ogg          unknown; public domain; https://archive.org/details/unknowncobracobrabitewmv
snap-branch-1.ogg          mrjingles; CC0; http://www.freesound.org/people/mrjingles/sounds/17184/
snap-branch-1.wav.xz       mrjingles; CC0; http://www.freesound.org/people/mrjingles/sounds/17184/
sneeze-1.ogg               free sound pack
